mandal_id,mandal_name,district,grace_gws_anom_cm,grace_gws_pctl,rootzone_pctl,surface_pctl,rain_1m_mm,rain_3m_mm,et_1m_mm,water_balance_mm,specific_yield,elevation_m,slope_deg,twi,phys_level_change_m,month_sin,month_cos,lat,lon,aquifer_type,has_sensor
VISAKHAPATNAM|MUNCHINGI PUTTU,Munchingi Puttu,Visakhapatnam,9.86,99.3,94.1,97.7,11.8,28.3,86.1,1085.5,0.08,768.0,2.5,9.0,1.232,1.0,0.0,18.3716,82.449,coastal,False
VISAKHAPATNAM|PEDA BAYALU,Peda Bayalu,Visakhapatnam,9.86,99.3,94.1,97.7,20.8,49.9,86.1,1004.8,0.08,1063.0,2.5,9.0,1.232,1.0,0.0,18.1817,82.485,coastal,False
VISAKHAPATNAM|DUMBRIGUDA,Dumbriguda,Visakhapatnam,9.86,99.3,94.1,97.7,11.5,27.6,86.1,1240.3,0.08,1106.0,2.5,9.0,1.232,1.0,0.0,18.3239,82.8153,coastal,False
VISAKHAPATNAM|ARAKU VALLEY,Araku Valley,Visakhapatnam,9.86,99.3,94.1,97.7,14.7,35.3,86.1,1287.8,0.08,999.0,2.5,9.0,1.232,1.0,0.0,18.3079,82.9602,coastal,False
VISAKHAPATNAM|ANANTHAGIRI,Ananthagiri,Visakhapatnam,9.86,99.3,94.1,97.7,11.8,28.3,86.1,974.4,0.08,427.0,2.5,9.0,1.232,1.0,0.0,18.1959,83.0487,coastal,False
VISAKHAPATNAM|HUKUMPETA,Hukumpeta,Visakhapatnam,9.86,99.3,94.1,97.7,15.1,36.2,86.1,1162.0,0.08,1083.0,2.5,9.0,1.232,1.0,0.0,18.1632,82.8102,coastal,False
VISAKHAPATNAM|PADERU,Paderu,Visakhapatnam,9.86,99.3,94.1,97.7,13.3,31.9,86.1,990.0,0.08,1016.0,2.5,9.0,1.232,1.0,0.0,18.0438,82.7,coastal,False
VISAKHAPATNAM|G.MADUGULA,G.Madugula,Visakhapatnam,9.86,99.3,94.1,97.7,16.7,40.1,86.1,945.3,0.08,1131.0,2.5,9.0,1.232,1.0,0.0,18.0167,82.5625,coastal,False
VISAKHAPATNAM|CHINTAPALLE,Chintapalle,Visakhapatnam,9.86,99.3,94.1,97.7,17.8,42.7,86.1,776.9,0.08,700.0,2.5,9.0,1.232,1.0,0.0,17.9594,82.3994,coastal,False
VISAKHAPATNAM|GUDEM KOTHA VEEDHI,Gudem Kotha Veedhi,Visakhapatnam,9.86,99.3,94.1,97.7,20.8,49.9,86.1,752.9,0.08,957.0,2.5,9.0,1.232,1.0,0.0,17.9027,82.1664,coastal,False
